מבוא להסתברות,365.2005,1,5
הסתברות למדעים,365.21,1,4
סטטיסטיקה למדעי המחשב,365.2301,1,4
חשבון דיפרנציאלי ואינטגרלי 1 א',366.1101,1,7
חשבון דיפרנציאלי ואינטגרלי 2 א',366.1102,1,7
אלגברה לינארית 1 א',366.1111,1,7
אלגברה לינארית 2 א',366.1112,1,6
משוואות דיפרנציאליות רגילות 1 א',366.2103,1,4
אנליזה נומרית 1 א',366.2105,1,4
טופולוגיה,366.2115,1,4
תורת הפונקציות המורכבות 1,366.2123,1,4
אלגברה ב' 1,366.2132,1,4
אלגברה ב' 2,366.2133,1,4
תורת המספרים,366.214,1,4
קומבינטוריקה בסיסית,366.3036,1,3
תורת הגרפים,366.3267,1,3
מבוא מורחב למדעי המחשב,368.1105,2,6
מתמטיקה בדידה,368.1118,1,6
תוכנה 1,368.2157,2,4
מבני נתונים,368.2158,3,4
מבנה מחשבים,368.2159,3,4
אלגוריתמים,368.216,3,4
פרויקט תוכנה,368.2161,2,2
מערכות הפעלה,368.2162,2,4
לוגיקה למדעי המחשב,368.217,1,4
מודלים חישוביים,368.22,3,4
נושאים נבחרים במודלים חישוביים,368.3,3,3
מבוא לחישוב עצבי,368.3013,7,3
גרפיקה ממוחשבת,368.3014,2,3
פרוטוקולים ורשתות מחשבים,368.3016,6,3
רשתות תקשורת מחשבים,368.303,6,4
נושאים מתקדמים באינטרנט,368.3036,6,3
איכויות שירות ברשתות תקשורת,368.3042,6,3
מבוא לקריפטוגרפיה מודרנית,368.3049,4,3
הנדסת תוכנה מוכוונת עצמים,368.3052,2,3
מבוא לרשתות נוירונים,368.3055,7,3
מערכות אחסון מתקדמות,368.3057,3,3
נושאים מתקדמים בתכנות,368.3058,2,4
ניהול נתונים באינטרנט,368.3062,6,3
למידה חישובית: מודלים גרפיים הסתברותיים ,368.3063,5,3
"אינטרנט, ענן, מכשירים ניידים ורשתות חברתיות",368.3064,6,3
מבוא לאבטחת מידע,368.3065,4,4
בניית ישומים מאובטחים,368.3066,4,3
הוכחות עצירה,368.3067,2,3
בדיקות תוכנה,368.3069,2,3
קומפילציה,368.3133,2,4
מבוא לבינה מלאכותית,368.3151,5,3
סיבוכיות,368.3168,3,4
וירטואליזציה של שירותי תקשורת (NFV),368.3234,6,3
מבוא ללמידה חישובית,368.3235,5,3
יסודות גרפיקה עיבוד תמונה וראיה,368.3236,2,3
ביג דאטה,368.3239,5,4
שפות תכנות,368.3241,2,3
רעיונות יסודיים במדעי המחשב,368.3242,2,3
  סמינר במערכות משובצות מחשב,368.3243,3,2
רשתות תקשורת ודיבור,368.3244,6,3
הוראת מדעי המחשב בקהילה,368.3245,3,3
נושאים נבחרים בתיאוריה,368.3247,3,3
כריית מידע,368.3248,5,3
צעדים ראשונים במחקר לסטודנטים מצטיינים,368.3249,1,3
אבטחת מערכות ויישומים ברשת,368.325,4,3
נושאים מתקדמים במבנה מחשבים,368.3251,3,3
מבוא לאינטלגנציה משחקית,368.3254,5,3
למידה והסקה ברשתות בייסיניות,368.3317,5,3
מבוא למדעי המידע,368.3319,5,3
רשתות עצבים מלאכותיות,368.3324,7,3
סמינר באבטחת מידע,368.3331,5,2
חישוב מדעי,368.3333,7,3
מערכות משובצות מחשב,368.3355,3,3
יסודות מערכות מידע,368.3455,3,3
מודלים לשידור ברשתות תקשורת מחשבים,368.3457,6,3
מערכות בסיסי נתונים,368.3458,2,3
לוגיקות לא קלאסיות,368.3459,1,3
פיתוח מערכות זמן אמת בגישה הפורמלית,368.346,2,3
מערכות הפעלה למתקדמים,368.3461,2,3
מבוא לעיבוד תמונה ווידאו,368.3463,2,3
עיבוד סיפרתי של אותות,368.3464,3,3
תכנות מעבדים רבי ליבות,368.3469,2,4
סדנא באבטחת מידע,368.35,5,5
ניתוח מתקדם של שפות תכנות,368.4051,3,3
תורת הקריפטוגרפיה,368.4162,4,3
סמינר נושאים באבטחת מידע,510.7409,4,3
פרטיות מידע,572.512,4,3
